BIDGBPUSD;BIDUSDJPY;ASKGBPJPY
1.2499;101.89;127.438
1.2499;101.89;127.442
1.2499;101.89;127.442
1.25;101.89;127.436
1.25;101.88;127.429
1.25;101.88;127.424
1.25;101.89;127.428
1.25;101.89;127.427
1.25;101.89;127.431
1.25;101.89;127.429
1.25;101.89;127.43
1.25;101.88;127.415
1.25;101.86;127.396
1.25;101.86;127.396
1.25;101.86;127.391
1.2502;101.86;127.406
1.2503;101.87;127.418
1.2503;101.88;127.433
1.2504;101.9;127.462
1.2503;101.89;127.456
1.2503;101.89;127.455
1.2503;101.9;127.457
1.2503;101.9;127.458
1.2503;101.9;127.457
1.2502;101.9;127.451
1.2503;101.9;127.452
1.2503;101.9;127.451
1.2503;101.9;127.454
1.2503;101.9;127.457
1.2503;101.91;127.471
1.2503;101.91;127.471
1.2503;101.91;127.471
1.2503;101.91;127.471
1.2503;101.91;127.468
1.2503;101.91;127.468
1.2503;101.91;127.47
1.2502;101.92;127.477
1.2503;101.92;127.476
1.2503;101.92;127.476
1.2503;101.92;127.488
1.2503;101.93;127.494
1.2503;101.93;127.491
1.2503;101.92;127.488
1.2503;101.91;127.475
1.2502;101.91;127.465
1.2501;101.91;127.465
1.2501;101.92;127.465
1.2501;101.92;127.465
1.2501;101.92;127.468
1.2501;101.93;127.474
1.2501;101.93;127.482
1.2501;101.94;127.488
1.2501;101.94;127.486
1.2501;101.94;127.487
1.2501;101.94;127.488
1.2501;101.94;127.488
1.2501;101.93;127.475
1.2501;101.93;127.473
1.2501;101.93;127.471
1.2501;101.91;127.455
1.2501;101.91;127.454
1.2501;101.91;127.458
1.2501;101.91;127.457
1.2501;101.91;127.456
1.2501;101.91;127.456
1.2501;101.92;127.469
1.2501;101.92;127.469
1.2501;101.92;127.469
1.2501;101.92;127.47
1.2501;101.92;127.47
1.2501;101.92;127.47
1.2501;101.92;127.469
1.2501;101.92;127.469
1.2499;101.92;127.452
1.2498;101.92;127.446
1.2498;101.92;127.446
1.2498;101.92;127.446
1.2498;101.92;127.446
1.2498;101.92;127.446
1.2498;101.92;127.451
1.2498;101.93;127.451
1.2498;101.93;127.449
1.2498;101.93;127.448
1.2498;101.93;127.448
1.2498;101.93;127.441
1.2498;101.93;127.443
1.2498;101.94;127.461
1.2498;101.94;127.455
1.2498;101.94;127.457
1.2496;101.94;127.443
1.2496;101.95;127.447
1.2495;101.95;127.445
1.2497;101.94;127.46
1.2497;101.95;127.46
1.2497;101.94;127.456
1.2497;101.95;127.46
1.2498;101.95;127.478
1.2498;101.95;127.48
1.2498;101.95;127.477
1.2498;101.95;127.482
1.2499;101.96;127.501
1.2499;101.96;127.499
1.2498;101.96;127.506
1.2499;101.96;127.506
1.25;101.96;127.51
1.25;101.96;127.508
1.25;101.95;127.487
1.2498;101.96;127.484
1.2498;101.96;127.483
1.2498;101.97;127.5
1.2498;101.98;127.502
1.2498;101.98;127.509
1.2498;101.99;127.515
1.2498;101.99;127.514
1.2497;101.99;127.51
1.2494;101.99;127.487
1.2493;101.98;127.479
1.2492;101.98;127.471
1.2492;101.98;127.468
1.2494;101.98;127.47
1.2494;101.99;127.484
1.2494;101.99;127.486
1.2494;101.99;127.486
1.2494;101.99;127.485
1.2493;102;127.474
1.2492;102;127.464
1.2488;102;127.437
1.2487;102.02;127.45
1.2489;102.03;127.475
1.2489;102.05;127.51
1.2492;102.05;127.537
1.2494;102.06;127.591
1.2494;102.09;127.616
1.2493;102.11;127.658
1.2493;102.15;127.688
1.2494;102.14;127.688
1.2494;102.16;127.724
1.2493;102.16;127.729
1.2491;102.17;127.701
1.2491;102.26;127.814
1.249;102.29;127.827
1.2488;102.3;127.85
1.2489;102.32;127.881
1.2488;102.33;127.874
1.2488;102.33;127.883
1.2488;102.34;127.889
1.2488;102.35;127.907
1.2489;102.27;127.83
1.2489;102.17;127.733
1.249;102.12;127.662
1.2491;102.2;127.763
1.2491;102.21;127.777
1.2492;102.16;127.709
1.2491;102.15;127.709
1.2491;102.15;127.706
1.2495;102.11;127.687
1.2495;102.11;127.693
1.2495;102.13;127.708
1.2495;102.13;127.7
1.2495;102.12;127.687
1.2495;102.12;127.681
1.2495;102.11;127.671
1.2495;102.11;127.674
1.2496;102.09;127.654
1.2496;102.12;127.682
1.2496;102.12;127.687
1.2495;102.13;127.687
1.2495;102.14;127.69
1.2495;102.12;127.666
1.2495;102.13;127.68
1.2495;102.14;127.691
1.249;102.14;127.665
1.2489;102.13;127.658
1.2488;102.12;127.64
1.2488;102.14;127.638
1.2488;102.15;127.652
1.2487;102.15;127.651
1.2487;102.11;127.603
1.2487;102.1;127.588
1.2487;102.14;127.63
1.2487;102.14;127.638
1.2487;102.13;127.625
1.2487;102.14;127.641
1.2487;102.16;127.653
1.2487;102.16;127.651
1.2487;102.18;127.675
1.2487;102.18;127.679
1.2484;102.18;127.632
1.2483;102.19;127.643
1.2484;102.2;127.651
1.2482;102.19;127.623
1.2482;102.17;127.594
1.2483;102.16;127.595
1.2483;102.18;127.611
1.2482;102.17;127.613
1.2482;102.16;127.605
1.2482;102.15;127.587
1.2482;102.16;127.596
1.2482;102.16;127.602
1.248;102.18;127.603
1.2481;102.16;127.577
1.2479;102.18;127.604
1.2477;102.2;127.616
1.2476;102.2;127.594
1.2477;102.19;127.581
1.2477;102.2;127.594
1.2477;102.2;127.593
1.2477;102.2;127.581
1.2477;102.2;127.579
1.2476;102.24;127.633
1.2476;102.2;127.582
1.2476;102.2;127.576
1.2476;102.19;127.568
1.2477;102.19;127.581
1.2477;102.2;127.602
1.2477;102.21;127.622
1.2477;102.21;127.629
1.2478;102.21;127.628
1.2479;102.19;127.624
1.248;102.19;127.626
1.2479;102.19;127.621
1.248;102.2;127.632
1.248;102.2;127.638
1.248;102.2;127.622
1.248;102.2;127.628
1.248;102.2;127.63
1.248;102.21;127.63
1.248;102.21;127.634
1.248;102.21;127.64
1.248;102.21;127.633
1.2481;102.21;127.638
1.2481;102.21;127.654
1.248;102.21;127.631
1.248;102.2;127.633
1.248;102.21;127.645
1.2481;102.21;127.65
1.2481;102.21;127.643
1.2481;102.21;127.649
1.2481;102.21;127.651
1.2481;102.21;127.646
1.2483;102.21;127.655
1.2481;102.21;127.652
1.248;102.21;127.65
1.2481;102.21;127.656
1.248;102.21;127.647
1.2484;102.22;127.68
1.2483;102.23;127.674
1.2483;102.21;127.658
1.2482;102.23;127.675
1.2482;102.23;127.668
1.2482;102.23;127.673
1.2486;102.22;127.718
1.2486;102.21;127.713
1.2486;102.21;127.714
1.2486;102.21;127.712
1.2486;102.21;127.715
1.2486;102.21;127.714
1.2486;102.21;127.714
1.2486;102.21;127.718
1.2486;102.21;127.724
1.2486;102.21;127.721
1.2487;102.2;127.709
1.2487;102.2;127.708
1.2487;102.22;127.733
1.2487;102.21;127.727
1.2487;102.21;127.729
1.2487;102.2;127.722
1.2487;102.2;127.724
1.2487;102.2;127.723
1.2488;102.2;127.717
1.2488;102.21;127.728
1.2488;102.23;127.747
1.2488;102.23;127.752
1.2488;102.22;127.753
1.2487;102.23;127.752
1.2487;102.23;127.759
1.2488;102.23;127.755
1.2488;102.23;127.757
1.2487;102.22;127.739
1.2487;102.21;127.738
1.2488;102.22;127.745
1.2488;102.22;127.746
1.2488;102.22;127.745
1.2487;102.24;127.772
1.2488;102.23;127.753
1.2488;102.23;127.762
1.2489;102.23;127.766
1.2489;102.24;127.784
1.2489;102.2;127.74
1.2489;102.2;127.74
1.2489;102.2;127.74
1.2489;102.2;127.741
1.2489;102.2;127.738
1.2489;102.21;127.746
1.2489;102.22;127.762
1.2489;102.22;127.77
1.2489;102.25;127.803
1.2489;102.25;127.801
1.2489;102.26;127.803
1.2489;102.25;127.793
1.2489;102.23;127.775
1.2489;102.25;127.801
1.2489;102.26;127.803
1.2489;102.25;127.793
1.2489;102.25;127.789
1.249;102.25;127.799
1.249;102.25;127.787
1.249;102.25;127.799
1.249;102.25;127.789
1.249;102.24;127.785
1.249;102.25;127.794
1.249;102.24;127.792
1.2491;102.24;127.784
1.2491;102.22;127.761
1.2492;102.21;127.757
